@relation accident

@attribute a/l numeric
@attribute accid numeric
@attribute accus numeric
@attribute address numeric
@attribute admir numeric
@attribute africa numeric
@attribute ajantha numeric
@attribute akila numeric
@attribute all numeric
@attribute allianc numeric
@attribute allow numeric
@attribute announc numeric
@attribute appoint numeric
@attribute arrest numeric
@attribute arriv numeric
@attribute as numeric
@attribute assist numeric
@attribute associ numeric
@attribute australia numeric
@attribute australian numeric
@attribute award numeric
@attribute bail numeric
@attribute ban numeric
@attribute bangladesh numeric
@attribute bank numeric
@attribute be numeric
@attribute been numeric
@attribute best numeric
@attribute blake numeric
@attribute bound numeric
@attribute bowl numeric
@attribute by numeric
@attribute captain numeric
@attribute case numeric
@attribute centr numeric
@attribute championship numeric
@attribute chandrasena numeric
@attribute charg numeric
@attribute children numeric
@attribute colleg numeric
@attribute command numeric
@attribute commonwealth numeric
@attribute commun numeric
@attribute construct numeric
@attribute court numeric
@attribute cricket numeric
@attribute cup numeric
@attribute dananjaya numeric
@attribute darren numeric
@attribute de numeric
@attribute dead numeric
@attribute death numeric
@attribute deputi numeric
@attribute destroi numeric
@attribute discov numeric
@attribute discuss numeric
@attribute divineguma numeric
@attribute dmk numeric
@attribute do numeric
@attribute down numeric
@attribute drug numeric
@attribute due numeric
@attribute eastern numeric
@attribute educ numeric
@attribute effect numeric
@attribute elect numeric
@attribute england numeric
@attribute envoi numeric
@attribute femal numeric
@attribute festiv numeric
@attribute field numeric
@attribute film numeric
@attribute final numeric
@attribute fine numeric
@attribute fire numeric
@attribute first numeric
@attribute fishermen numeric
@attribute follow numeric
@attribute forc numeric
@attribute four numeric
@attribute from numeric
@attribute futa numeric
@attribute gall numeric
@attribute gayl numeric
@attribute gener numeric
@attribute govern numeric
@attribute h numeric
@attribute ha numeric
@attribute hatton numeric
@attribute head numeric
@attribute heavi numeric
@attribute heroin numeric
@attribute hit numeric
@attribute indi numeric
@attribute infant numeric
@attribute inform numeric
@attribute inquiri numeric
@attribute insid numeric
@attribute intercept numeric
@attribute intern numeric
@attribute jaffna numeric
@attribute jayalalithaa numeric
@attribute jayawarden numeric
@attribute jsc numeric
@attribute judg numeric
@attribute kei numeric
@attribute kill numeric
@attribute kuwait numeric
@attribute land numeric
@attribute lead numeric
@attribute leader numeric
@attribute leagu numeric
@attribute level numeric
@attribute lnp numeric
@attribute ltte numeric
@attribute m numeric
@attribute mahela numeric
@attribute mahinda numeric
@attribute make numeric
@attribute malini numeric
@attribute man numeric
@attribute march numeric
@attribute mark numeric
@attribute matara numeric
@attribute mdmk numeric
@attribute medal numeric
@attribute meet numeric
@attribute mervyn numeric
@attribute militari numeric
@attribute ministri numeric
@attribute mirror numeric
@attribute mobil numeric
@attribute mondai numeric
@attribute moon numeric
@attribute most numeric
@attribute mp numeric
@attribute mr numeric
@attribute municip numeric
@attribute murder numeric
@attribute muslim numeric
@attribute name numeric
@attribute nation numeric
@attribute navi numeric
@attribute netbal numeric
@attribute next numeric
@attribute number numeric
@attribute paper numeric
@attribute paralymp numeric
@attribute parliament numeric
@attribute part numeric
@attribute pass numeric
@attribute pc numeric
@attribute peopl numeric
@attribute perform numeric
@attribute pilgrim numeric
@attribute place numeric
@attribute plan numeric
@attribute plant numeric
@attribute player numeric
@attribute pm numeric
@attribute point numeric
@attribute polit numeric
@attribute poll numeric
@attribute possess numeric
@attribute post numeric
@attribute present numeric
@attribute presid numeric
@attribute prime numeric
@attribute prison numeric
@attribute protest numeric
@attribute qualifi numeric
@attribute question numeric
@attribute rajapaksa numeric
@attribute ranil numeric
@attribute rank numeric
@attribute rate numeric
@attribute reach numeric
@attribute reject numeric
@attribute relat numeric
@attribute relic numeric
@attribute remain numeric
@attribute reopen numeric
@attribute report numeric
@attribute result numeric
@attribute rs numeric
@attribute rule numeric
@attribute sangakkara numeric
@attribute sanjeewa numeric
@attribute saturdai numeric
@attribute sc numeric
@attribute school numeric
@attribute sea numeric
@attribute second numeric
@attribute sell numeric
@attribute semifin numeric
@attribute send numeric
@attribute sent numeric
@attribute sep numeric
@attribute septemb numeric
@attribute short numeric
@attribute should numeric
@attribute situat numeric
@attribute sl numeric
@attribute slpl numeric
@attribute sm numeric
@attribute smuggl numeric
@attribute south numeric
@attribute special numeric
@attribute spend numeric
@attribute sport numeric
@attribute st numeric
@attribute stab numeric
@attribute start numeric
@attribute state numeric
@attribute stop numeric
@attribute sundai numeric
@attribute system numeric
@attribute take numeric
@attribute talk numeric
@attribute taylor numeric
@attribute tea numeric
@attribute teacher numeric
@attribute team numeric
@attribute tell numeric
@attribute thei numeric
@attribute their numeric
@attribute there numeric
@attribute three numeric
@attribute time numeric
@attribute tn numeric
@attribute tna numeric
@attribute todai numeric
@attribute tourist numeric
@attribute tournament numeric
@attribute town numeric
@attribute travel numeric
@attribute tribun numeric
@attribute trophi numeric
@attribute tv numeric
@attribute twenti numeric
@attribute union numeric
@attribute univers numeric
@attribute unp numeric
@attribute up numeric
@attribute upload numeric
@attribute urg numeric
@attribute v numeric
@attribute vaiko numeric
@attribute vehicl numeric
@attribute video numeric
@attribute vote numeric
@attribute vs numeric
@attribute wall numeric
@attribute war numeric
@attribute water numeric
@attribute well numeric
@attribute western numeric
@attribute what numeric
@attribute wicket numeric
@attribute win numeric
@attribute with numeric
@attribute without numeric
@attribute women numeric
@attribute women’ numeric
@attribute won numeric
@attribute work numeric
@attribute worker numeric
@attribute would numeric
@attribute year numeric
@attribute zimbabw numeric
@attribute group {other,accident}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,other
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,other
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,other
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,other
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,other
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,other
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,other
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,other
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,other
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,other
